mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.09419364929199218,0.02347522612435232,0.004185533523559571,0.0010824880347746603,0.1,{'alpha': 0.1},9.161551201453122e-05,3.175690935619535e-05,1.6460754393654575e-05,9.084821331228898e-05,0.00017380242564823956,8.089655654253567e-05,5.551945222568198e-05,5,9.953464528611455e-05,0.00013444615491109424,0.00013870872985388694,0.00011975413741815988,0.00010808402968176534,0.00012010553943020419,1.496351437466323e-05
0.0783998966217041,0.015608996683537364,0.004769229888916015,0.003250712311176548,1,{'alpha': 1},9.161551191572137e-05,3.1756909344760054e-05,1.6460754399760802e-05,9.084821380656027e-05,0.00017380242549391856,8.089655658969841e-05,5.551945218854529e-05,4,9.953464528622556e-05,0.00013444615491098322,0.00013870872985388694,0.00011975413741860397,0.00010808402968143226,0.00012010553943022639,1.496351437466286e-05
0.08343486785888672,0.015588867539552414,0.007659196853637695,0.004773810998770683,10,{'alpha': 10},9.161551092318199e-05,3.175690923029606e-05,1.6460754460601024e-05,9.084821875060545e-05,0.0001738024239489322,8.089655706028202e-05,5.5519451816531415e-05,3,9.953464528622556e-05,0.00013444615491109424,0.00013870872985399796,0.00011975413741860397,0.00010808402968143226,0.0001201055394302708,1.4963514374711745e-05
0.08681840896606445,0.017938136656688232,0.002686882019042969,0.00035844628466525627,50,{'alpha': 50},9.161550651404227e-05,3.175690872170289e-05,1.6460754731162375e-05,9.084824072480568e-05,0.00017380241708198074,8.089655915231738e-05,5.551945016306746e-05,2,9.953464528611455e-05,0.00013444615491053913,0.00013870872985388694,0.00011975413741815988,0.00010808402968176534,0.00012010553943009317,1.4963514374556827e-05
0.08124032020568847,0.01736739740710778,0.005102968215942383,0.004825572785143071,100,{'alpha': 100},9.161550100245108e-05,3.175690808610021e-05,1.6460755069558353e-05,9.08482681921674e-05,0.00017380240849884654,8.089656176742818e-05,5.551944809633589e-05,1,9.953464528611455e-05,0.00013444615491120526,0.00013870872985388694,0.00011975413741804887,0.00010808402968143226,0.00012010553943013758,1.4963514374738546e-05
